poll_info,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,year,state,candidate,pct
2012-kentucky-president-romney-vs-obama,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem,2012,kentucky,Romney,48
2012-kentucky-president-romney-vs-obama,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem,2012,kentucky,Other,NA
2012-kentucky-president-romney-vs-obama,14974,PPP (D),2011-08-25,2011-08-28,Likely Voters,600,Automated Phone,Pollster,Dem,2012,kentucky,Undecided,11
2012-mississippi-president-romney-vs-obama,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem,2012,mississippi,Obama,36
2012-mississippi-president-romney-vs-obama,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem,2012,mississippi,Romney,54
2012-mississippi-president-romney-vs-obama,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem,2012,mississippi,Other,NA
2012-mississippi-president-romney-vs-obama,12585,PPP (D),2011-11-04,2011-11-06,Likely Voters,796,Automated Phone,Pollster,Dem,2012,mississippi,Undecided,10
2012-mississippi-president-romney-vs-obama,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem,2012,mississippi,Obama,40
2012-mississippi-president-romney-vs-obama,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem,2012,mississippi,Romney,46
2012-mississippi-president-romney-vs-obama,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem,2012,mississippi,Other,NA
2012-mississippi-president-romney-vs-obama,15016,PPP (D),2011-03-24,2011-03-27,Likely Voters,817,Automated Phone,Pollster,Dem,2012,mississippi,Undecided,13
2012-louisiana-president-romney-vs-obama,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep,2012,louisiana,Obama,36
2012-louisiana-president-romney-vs-obama,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep,2012,louisiana,Romney,59
2012-louisiana-president-romney-vs-obama,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep,2012,louisiana,Other,NA
2012-louisiana-president-romney-vs-obama,15650,Magellan (R),2012-10-02,2012-10-04,Likely Voters,2682,Automated Phone,Pollster,Rep,2012,louisiana,Undecided,5
2012-louisiana-president-romney-vs-obama,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None,2012,louisiana,Obama,37
2012-louisiana-president-romney-vs-obama,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None,2012,louisiana,Romney,50
2012-louisiana-president-romney-vs-obama,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None,2012,louisiana,Other,NA
2012-louisiana-president-romney-vs-obama,15507,JZ Analytics,2012-09-29,2012-09-30,Likely Voters,412,Internet,Nonpartisan,None,2012,louisiana,Undecided,10
2012-louisiana-president-romney-vs-obama,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None,2012,louisiana,Obama,39
2012-louisiana-president-romney-vs-obama,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None,2012,louisiana,Romney,45
2012-louisiana-president-romney-vs-obama,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None,2012,louisiana,Other,NA
2012-louisiana-president-romney-vs-obama,15469,Southern Media/Opinion Research,2012-09-11,2012-09-20,Likely Voters,600,Live Phone,Nonpartisan,None,2012,louisiana,Undecided,17
2012-kansas-president-romney-vs-obama,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None,2012,kansas,Obama,39
2012-kansas-president-romney-vs-obama,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None,2012,kansas,Romney,48
2012-kansas-president-romney-vs-obama,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None,2012,kansas,Other,NA
2012-kansas-president-romney-vs-obama,14973,SurveyUSA,2011-11-18,2011-11-21,Registered Voters,510,IVR/Online,Nonpartisan,None,2012,kansas,Undecided,13
2012-kansas-president-romney-vs-obama,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None,2012,kansas,Obama,31
2012-kansas-president-romney-vs-obama,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None,2012,kansas,Romney,56
2012-kansas-president-romney-vs-obama,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None,2012,kansas,Other,NA
2012-kansas-president-romney-vs-obama,12571,SurveyUSA,2011-11-10,2011-11-10,Likely Voters,800,Automated Phone,Nonpartisan,None,2012,kansas,Undecided,12
2012-hawaii-president-romney-vs-obama,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None,2012,hawaii,Obama,61
2012-hawaii-president-romney-vs-obama,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None,2012,hawaii,Romney,34
2012-hawaii-president-romney-vs-obama,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None,2012,hawaii,Other,NA
2012-hawaii-president-romney-vs-obama,16453,Honolulu Civil Beat/Merriman,2012-10-24,2012-10-26,Likely Voters,1218,Automated Phone,Nonpartisan,None,2012,hawaii,Undecided,5
2012-hawaii-president-romney-vs-obama,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None,2012,hawaii,Obama,62
2012-hawaii-president-romney-vs-obama,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None,2012,hawaii,Romney,30
2012-hawaii-president-romney-vs-obama,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None,2012,hawaii,Other,3
2012-hawaii-president-romney-vs-obama,15516,Honolulu Civil Beat/Merriman,2012-09-26,2012-09-28,Likely Voters,1684,Automated Phone,Nonpartisan,None,2012,hawaii,Undecided,6
2012-hawaii-president-romney-vs-obama,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem,2012,hawaii,Obama,59
2012-hawaii-president-romney-vs-obama,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem,2012,hawaii,Romney,32
2012-hawaii-president-romney-vs-obama,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem,2012,hawaii,Other,NA
2012-hawaii-president-romney-vs-obama,12582,DailyKos.com/PPP (D),2011-10-13,2011-10-16,Likely Voters,568,Automated Phone,Sponsor,Dem,2012,hawaii,Undecided,10
2012-west-virginia-president-romney-vs-obama,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None,2012,west-virginia,Obama,38
2012-west-virginia-president-romney-vs-obama,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None,2012,west-virginia,Romney,52
2012-west-virginia-president-romney-vs-obama,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None,2012,west-virginia,Other,NA
2012-west-virginia-president-romney-vs-obama,14852,R.L. Repass & Partners,2012-08-22,2012-08-25,Likely Voters,401,Mixed,Nonpartisan,None,2012,west-virginia,Undecided,10
2012-west-virginia-president-romney-vs-obama,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None,2012,west-virginia,Obama,37
2012-west-virginia-president-romney-vs-obama,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None,2012,west-virginia,Romney,54
2012-west-virginia-president-romney-vs-obama,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None,2012,west-virginia,Other,NA
2012-west-virginia-president-romney-vs-obama,14877,R.L. Repass & Partners,2012-04-25,2012-04-28,Likely Voters,410,Live Phone/Online,Nonpartisan,None,2012,west-virginia,Undecided,10
2012-alabama-president-romney-vs-obama,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None,2012,alabama,Obama,36
2012-alabama-president-romney-vs-obama,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None,2012,alabama,Romney,51
2012-alabama-president-romney-vs-obama,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None,2012,alabama,Other,NA
2012-alabama-president-romney-vs-obama,14263,Capital Survey Research Center,2012-06-07,2012-06-27,Likely Voters,551,Live Phone,Nonpartisan,None,2012,alabama,Undecided,NA
2012-utah-president-romney-vs-obama,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None,2012,utah,Obama,26
2012-utah-president-romney-vs-obama,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None,2012,utah,Romney,69
2012-utah-president-romney-vs-obama,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None,2012,utah,Other,NA
2012-utah-president-romney-vs-obama,16509,Dan Jones & Associates,2012-10-26,2012-11-01,Registered Voters,870,Live Phone,Nonpartisan,None,2012,utah,Undecided,NA
2012-utah-president-romney-vs-obama,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None,2012,utah,Obama,25
2012-utah-president-romney-vs-obama,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None,2012,utah,Romney,70
2012-utah-president-romney-vs-obama,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None,2012,utah,Other,2
2012-utah-president-romney-vs-obama,16630,Mason-Dixon/The Salt Lake Tribune,2012-10-29,2012-10-31,Registered Voters,625,Live Phone,Nonpartisan,None,2012,utah,Undecided,3
2012-utah-president-romney-vs-obama,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None,2012,utah,Obama,20
2012-utah-president-romney-vs-obama,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None,2012,utah,Romney,71
2012-utah-president-romney-vs-obama,16144,Key/BYU,2012-10-09,2012-10-13,Likely Voters,500,Live Phone,Nonpartisan,None,2012,utah,Other,NA
