poll_info,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,year,state,candidate,pct
2016-west-virginia-president-trump-vs-clinton,26793,UPI/CVOTER,2016-10-30,2016-11-06,Likely Voters,309,Internet,Nonpartisan,None,2016,west-virginia,Undecided,NA
2016-west-virginia-president-trump-vs-clinton,26806,Ipsos/Reuters,2016-10-17,2016-11-06,Likely Voters,422,Internet,Nonpartisan,None,2016,west-virginia,Trump,58
2016-west-virginia-president-trump-vs-clinton,26806,Ipsos/Reuters,2016-10-17,2016-11-06,Likely Voters,422,Internet,Nonpartisan,None,2016,west-virginia,Clinton,34
2016-west-virginia-president-trump-vs-clinton,26806,Ipsos/Reuters,2016-10-17,2016-11-06,Likely Voters,422,Internet,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,26806,Ipsos/Reuters,2016-10-17,2016-11-06,Likely Voters,422,Internet,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,26806,Ipsos/Reuters,2016-10-17,2016-11-06,Likely Voters,422,Internet,Nonpartisan,None,2016,west-virginia,Other,NA
2016-west-virginia-president-trump-vs-clinton,26806,Ipsos/Reuters,2016-10-17,2016-11-06,Likely Voters,422,Internet,Nonpartisan,None,2016,west-virginia,Undecided,8
2016-west-virginia-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,321,Internet,Nonpartisan,None,2016,west-virginia,Trump,58
2016-west-virginia-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,321,Internet,Nonpartisan,None,2016,west-virginia,Clinton,27
2016-west-virginia-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,321,Internet,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,321,Internet,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,321,Internet,Nonpartisan,None,2016,west-virginia,Other,12
2016-west-virginia-president-trump-vs-clinton,26596,SurveyMonkey,2016-10-25,2016-10-31,Likely Voters,321,Internet,Nonpartisan,None,2016,west-virginia,Undecided,3
2016-west-virginia-president-trump-vs-clinton,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,2016,west-virginia,Trump,59
2016-west-virginia-president-trump-vs-clinton,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,2016,west-virginia,Clinton,36
2016-west-virginia-president-trump-vs-clinton,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,2016,west-virginia,Other,5
2016-west-virginia-president-trump-vs-clinton,26592,UPI/CVOTER,2016-10-23,2016-10-29,Likely Voters,311,Internet,Nonpartisan,None,2016,west-virginia,Undecided,NA
2016-west-virginia-president-trump-vs-clinton,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,379,Internet,Nonpartisan,None,2016,west-virginia,Trump,61
2016-west-virginia-president-trump-vs-clinton,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,379,Internet,Nonpartisan,None,2016,west-virginia,Clinton,29
2016-west-virginia-president-trump-vs-clinton,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,379,Internet,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,379,Internet,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,379,Internet,Nonpartisan,None,2016,west-virginia,Other,9
2016-west-virginia-president-trump-vs-clinton,26441,SurveyMonkey,2016-10-18,2016-10-24,Likely Voters,379,Internet,Nonpartisan,None,2016,west-virginia,Undecided,1
2016-west-virginia-president-trump-vs-clinton,26344,Ipsos/Reuters,2016-09-23,2016-10-13,Likely Voters,360,Internet,Nonpartisan,None,2016,west-virginia,Trump,54
2016-west-virginia-president-trump-vs-clinton,26344,Ipsos/Reuters,2016-09-23,2016-10-13,Likely Voters,360,Internet,Nonpartisan,None,2016,west-virginia,Clinton,41
2016-west-virginia-president-trump-vs-clinton,26344,Ipsos/Reuters,2016-09-23,2016-10-13,Likely Voters,360,Internet,Nonpartisan,None,2016,west-virginia,Johnson,NA
2016-west-virginia-president-trump-vs-clinton,26344,Ipsos/Reuters,2016-09-23,2016-10-13,Likely Voters,360,Internet,Nonpartisan,None,2016,west-virginia,McMullin,NA
2016-west-virginia-president-trump-vs-clinton,26344,Ipsos/Reuters,2016-09-23,2016-10-13,Likely Voters,360,Internet,Nonpartisan,None,2016,west-virginia,Other,NA
